Instruction_1.started,Instruction_1.stopped,key_resp.keys,調査協力者ID,date,expName,psychopyVersion,OS,frameRate,Testing.started,Testing.stopped,key_resp_5.keys,key_resp_5.corr,testingLoop.thisRepN,testingLoop.thisTrialN,testingLoop.thisN,testingLoop.thisIndex,testingLoop.ran,ss_Testing.started,ss_Testing.stopped,key_resp_13.keys,key_resp_13.corr,ss_TestingLoop.thisRepN,ss_TestingLoop.thisTrialN,ss_TestingLoop.thisN,ss_TestingLoop.thisIndex,ss_TestingLoop.ran,nb1TestingInstruct.started,nb1TestingInstruct.stopped,nb1TestingDisplay.started,nb1TestingDisplay.stopped,nb1TestingNumber.started,nb1TestingNumber.stopped,nb1TestingResponse.started,nb1TestingResponse.stopped,key_resp_20.keys,key_resp_20.corr,nb1TestingLoop.thisRepN,nb1TestingLoop.thisTrialN,nb1TestingLoop.thisN,nb1TestingLoop.thisIndex,nb1TestingLoop.ran,nb1TestingPreLocation,nb1TestingLocation,nb1TestingDistance,nb1TestingFixationNumber,nb1TestingCorrResp,nb1Testingvisual_hemifield,nb2TestingInstruct.started,nb2TestingInstruct.stopped,nb2TestingDisplay_1.started,nb2TestingDisplay_1.stopped,nb2TestingDisplay_2.started,nb2TestingDisplay_2.stopped,nb2TestingResponse.started,nb2TestingResponse.stopped,key_resp_29.keys,key_resp_29.corr,nb2TestingLoop.thisRepN,nb2TestingLoop.thisTrialN,nb2TestingLoop.thisN,nb2TestingLoop.thisIndex,nb2TestingLoop.ran,nb2TestingPreLocation,nb2TestingLocation,nb2TestingDistance,nb2TestingCorrResp,nb2TestingInterference,nb2Testingvisual_hemifield,key_resp_5.rt,key_resp_5.duration,key_resp_13.rt,key_resp_13.duration,key_resp_20.rt,key_resp_20.duration,key_resp_29.rt,key_resp_29.duration,id,time
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,92.7289,95.0599,,0.0,1.0,1.0,9.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,95.0634,98.9935,,0.0,1.0,2.0,10.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,98.9973,102.2102,,0.0,1.0,3.0,11.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,102.215,105.8936,,0.0,1.0,4.0,12.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,105.8965,109.6105,,0.0,1.0,5.0,13.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,109.6136,112.7941,,0.0,1.0,6.0,14.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,112.7983,116.1273,,0.0,1.0,7.0,15.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,116.1299,119.4447,,0.0,2.0,0.0,16.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,119.4484,122.1283,,0.0,2.0,1.0,17.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,122.1326,124.5617,,0.0,2.0,2.0,18.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,124.5653,127.3782,,0.0,2.0,3.0,19.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,127.3818,131.5447,,0.0,2.0,4.0,20.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,131.5481,134.9121,,0.0,2.0,5.0,21.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,134.9163,136.9788,,0.0,2.0,6.0,22.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,136.9828,140.729,,0.0,2.0,7.0,23.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,174.7845,177.5988,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,177.6007,180.1983,,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,180.2006,183.082,,0.0,2.0,0.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,183.0849,185.8481,,0.0,3.0,0.0,3.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,185.8512,188.215,,0.0,4.0,0.0,4.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,188.2175,190.5883,,0.0,5.0,0.0,5.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,190.591,192.8989,,0.0,6.0,0.0,6.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
